asin,title,category
B07H93H878,eXtremeRate Soft Touch Top Shell Front Housing Faceplate Replacement Parts with Side Rails Panel for Xbox One X & One S Controller (Shadow Purple),"['Video Games', 'Xbox One', 'Accessories', 'Faceplates, Protectors & Skins']"
B07DL353F8,Tales of Vesperia - Definitive Edition - PlayStation 4,"['Video Games', 'PlayStation 4', 'Games']"
B08WLJ8WF2,"eXtremeRate Replacement D-pad R1 L1 R2 L2 Triggers Share Options Face Buttons, Scarlet Red Full Set Buttons Compatible with ps5 Controller BDM-030 - Controller NOT Included","['Video Games', 'PlayStation 5', 'Accessories', 'Accessory Kits']"
B09SRXBT8Y,Nintendo Switch Sports (Nintendo Switch) (European Version),"['Video Games', 'Nintendo Switch', 'Games']"
B09CG15F86,Razer Doubleshot PBT Keycap Upgrade Set for Mechanical & Optical Keyboards: Compatible with Standard 104/105 US and UK layouts - Classic Black,"['Video Games', 'PC', 'Accessories', 'Gaming Keyboards']"
B09TFCFZJ6,Silicone Analog Controller Thumb Stick Grips Cap for Nintendo Switch NS Controller Joy-Con/Switch Lite ThumbStick（2 PCS White-Pink Cute Cat Paw Claw）,"['Video Games', 'Nintendo Switch', 'Accessories', 'Controllers']"
B08P1CB1G2,"eXtremeRate PlayVital Guardian Edition Blue Ergonomic Soft Anti-Slip Controller Silicone Case Cover for ps5, Rubber Protector Skins with Black Joystick Caps for ps5 Controller","['Video Games', 'PlayStation 5', 'Accessories', 'Controllers']"
B07GQVD13S,THRUSTMASTER T80 Ferrari 488 GTB Edition (PS4 / PC),"['Video Games', 'PlayStation 4', 'Accessories', 'Controllers', 'Racing Wheels']"
B08QNDS6Q5,"Time magazine ( December 21 / 28 , 2020 ) - Person of the year - Joe Biden and Kamala Harris - Changing America’s History","['Video Games', 'PlayStation 4', 'Games']"
B078GLDBZX,Street Fighter 30th Anniversary Collection - Nintendo Switch Standard Edition,"['Video Games', 'Nintendo Switch', 'Games']"
B01GY35HKE,Mass Effect Andromeda Deluxe - Xbox One,"['Video Games', 'Xbox One', 'Games']"
B07HC8PBDB,"eXtremeRate Red Faceplate Cover, Soft Touch Front Housing Shell Case, Comfortable Soft Grip Replacement Kit for Xbox One X S Controller - Controller NOT Included","['Video Games', 'Legacy Systems', 'Xbox Systems', 'Xbox', 'Accessories']"
B09MFFTCX8,"PDP Gaming Faceoff Deluxe+ Wired Switch Pro Controller - Officially Licensed by Nintendo - Customizable buttons, sticks, triggers, and paddles - Ergonomic Controllers - Purple Camo / Camouflage","['Video Games', 'Nintendo Switch', 'Accessories', 'Controllers']"
B07GJ5W7HV,Microsoft Xbox Wireless Controller - Phantom Black Special Edition - Xbox One (Discontinued),"['Video Games', 'Xbox One', 'Accessories', 'Controllers', 'Gamepads & Standard Controllers']"
B086YZYZPC,Official Nintendo Switch Joy-Con Grip (Renewed),"['Video Games', 'Nintendo Switch', 'Accessories', 'Controllers']"
B00YM7AKLG,FIFA 16 - Standard Edition - PlayStation 4,"['Video Games', 'PlayStation 4']"
B07SJFD972,"Charger Cable for PS4 Controller – 2 Pack 10FT Nylon Braided Micro USB 2.0 Charge and Play Data Sync Charging Cord for Playstation 4, dualshock 4, Xbox One S/X Controller, Samsung, Android Phones","['Video Games', 'Xbox One', 'Accessories', 'Cables & Adapters', 'Cables']"
B0777DRH1Y,Hikfly Silicone Gel Controller Cover Skin Protector Compatible for PS4/PS4 Slim/PS4 Pro Controller (1 x Controller Cover with 8 x FPS Pro Thumb Grip Caps)(Grey),"['Video Games', 'PlayStation 4', 'Accessories']"
B000B8GTA6,Cheaper by the Dozen,"['Video Games', 'Legacy Systems', 'PlayStation Systems', 'Sony PSP', 'Games']"
B01CJFGUZW,Cooler Master Devastator II - Blue LED Gaming Keyboard & Mouse Combo Bundle (SGB-3030-KKMF1-US),"['Video Games', 'PC', 'Accessories', 'Gaming Keyboards']"
